candidate,period,horizon,n,exceedances,mae,rmse,median_ae,bias,point_recall,point_precision,point_fpr,brier,brier_skill,auc,prob_recall,prob_precision,prob_fpr,alarms,interval80_coverage,level_substituted_fraction
naive_previous_lab,audit_2026,120,234,34,1.7974358892275228,2.707018404022489,1.199999809265135,0.002564116771149862,0.11764705882352941,0.15384615384615385,0.11,,,,,,,,,0.008547008547008548
anchored_q21,audit_2026,120,234,34,1.636255609335914,2.7395265093572614,0.9461442232131962,0.3061090825719924,0.29411764705882354,0.23809523809523808,0.16,,,,,,,,,0.042735042735042736
anchored_pak,audit_2026,120,234,34,1.6554438813650536,2.5112837395701395,1.0700380404790248,0.2286413233525559,0.3235294117647059,0.25,0.165,,,,,,,,,0.03418803418803419
v3_saved,audit_2026,120,234,34,1.3564734798281695,2.118816924767921,0.8367804064181916,0.02200570127773515,0.058823529411764705,0.25,0.03,0.1263888305903792,-0.01772747173629452,0.6348529411764706,0.23529411764705882,0.2222222222222222,0.14,36.0,0.7735042735042735,
v3_refit,audit_2026,120,234,34,1.368599899840687,2.118053542173542,0.8690115608056814,-0.008185431062843805,0.058823529411764705,0.18181818181818182,0.045,0.12816422726555493,-0.032023592375400645,0.6391176470588236,0.3235294117647059,0.275,0.145,40.0,0.7606837606837606,
hgb_fixed,audit_2026,120,234,34,1.2533108855406092,1.960445868283603,0.829925650077334,-0.09410360491287735,0.029411764705882353,0.14285714285714285,0.03,0.1338061616237388,-0.07745443909844707,0.6144852941176471,0.3235294117647059,0.22,0.195,50.0,0.8461538461538461,
v4r,audit_2026,180,234,34,1.4038076924691392,2.182793068900635,0.8801891262647912,0.09415223362936029,0.11764705882352941,0.4,0.03,0.13523562479649445,-0.08896498108188955,0.5760294117647059,0.4117647058823529,0.2153846153846154,0.255,65.0,0.7777777777777778,
naive_previous_lab,audit_2026,180,234,34,1.7200854561713517,2.5272446863965405,1.199999809265135,-0.10726494020503807,0.17647058823529413,0.2727272727272727,0.08,,,,,,,,,0.01282051282051282
anchored_q21,audit_2026,180,234,34,1.7554050809557835,2.6397724451101094,1.1815626968940096,0.2927334674493414,0.35294117647058826,0.24489795918367346,0.185,,,,,,,,,0.042735042735042736
anchored_pak,audit_2026,180,234,34,1.79910428984425,2.6892746553829086,1.225812514623005,0.26603769183031506,0.29411764705882354,0.19230769230769232,0.21,,,,,,,,,0.03418803418803419
v3_saved,audit_2026,180,234,34,1.4176188563378707,2.1359099019819605,0.9091590883420722,-0.0883644880209724,0.0,,0.0,0.12369109295472636,0.003995663848677111,0.5966176470588235,0.11764705882352941,0.3333333333333333,0.04,12.0,0.7521367521367521,
v3_refit,audit_2026,180,234,34,1.4197751264267655,2.131215768452636,0.8796581572595543,-0.1244645316915611,0.0,,0.0,0.12435596252222361,-0.0013581005686580383,0.585,0.14705882352941177,0.3125,0.055,16.0,0.7649572649572649,
