period,horizon,candidate,reference,n,mae_delta,mae_delta_95ci,mae_reference,brier_delta,brier_delta_95ci
2024,60,hgb_fixed,v3_refit,342,-0.04504538727294137,"[-0.1867007267405205, 0.06947371065681437]",1.1748825872813566,0.012819621122273169,"[-0.005198606299085799, 0.02983198294765909]"
2024,60,hgb_fixed,naive_previous_lab,342,-0.540045839951275,"[-0.7287679651058614, -0.36298918838240907]",1.66988303995969,,
2024,120,v4r,v3_saved,344,-0.1307906237399472,"[-0.25135959565668864, -0.031726373855193245]",1.2939660731683473,-0.005776687455995201,"[-0.018482409254940442, 0.007183168771123495]"
2024,120,v4r,v3_refit,344,-0.13852770082102125,"[-0.26365351495858985, -0.03492401082273938]",1.3017031502494214,-0.009856917943743543,"[-0.02353851645396576, 0.003751174170388428]"
2024,120,v4r,naive_previous_lab,344,-0.48275478604066413,"[-0.6391723792377426, -0.3297224511400738]",1.6459302354690641,,
2024,120,naive_previous_lab,v3_saved,344,0.35196416230071687,"[0.14110380650739315, 0.5508320658409928]",1.2939660731683473,,
2024,120,naive_previous_lab,v3_refit,344,0.34422708521964285,"[0.12924234865524523, 0.5444728773145131]",1.3017031502494214,,
2024,120,anchored_q21,v3_saved,344,0.1774525724399855,"[0.0482352634797216, 0.3151626716598267]",1.2939660731683473,,
2024,120,anchored_q21,v3_refit,344,0.16971549535891145,"[0.03782694753973457, 0.31008134711800295]",1.3017031502494214,,
2024,120,anchored_q21,naive_previous_lab,344,-0.17451158986073137,"[-0.3720778009792988, 0.03019317783550116]",1.6459302354690641,,
2024,120,anchored_pak,v3_saved,344,0.04972904739770448,"[-0.09141888474729669, 0.16710528147281736]",1.2939660731683473,,
2024,120,anchored_pak,v3_refit,344,0.04199197031663044,"[-0.10578438562906306, 0.16587838359043147]",1.3017031502494214,,
2024,120,anchored_pak,naive_previous_lab,344,-0.3022351149030124,"[-0.4949602634249297, -0.12483159724358324]",1.6459302354690641,,
2024,120,v3_saved,v3_refit,344,-0.0077370770810740366,"[-0.0183707562447142, 0.002478940174749018]",1.3017031502494214,-0.0040802304877483415,"[-0.005966739741327883, -0.0022827528081430723]"
2024,120,v3_saved,naive_previous_lab,344,-0.35196416230071687,"[-0.5508320658409929, -0.14110380650739324]",1.6459302354690641,,
2024,120,v3_refit,v3_saved,344,0.0077370770810740366,"[-0.0024789401747490392, 0.018370756244714195]",1.2939660731683473,0.0040802304877483415,"[0.0022827528081430714, 0.005966739741327882]"
2024,120,v3_refit,naive_previous_lab,344,-0.34422708521964285,"[-0.5444728773145131, -0.12924234865524523]",1.6459302354690641,,
2024,120,hgb_fixed,v3_saved,344,0.04266168718833236,"[-0.11656269442854404, 0.1744854344331241]",1.2939660731683473,0.039994845093473744,"[0.02157686663590063, 0.05721171608149512]"
2024,120,hgb_fixed,v3_refit,344,0.03492461010725833,"[-0.12559588516988304, 0.16750392014689036]",1.3017031502494214,0.035914614605725405,"[0.017228541840153173, 0.05360428720799984]"
2024,120,hgb_fixed,naive_previous_lab,344,-0.3093024751123845,"[-0.48144569333413884, -0.1427292507147771]",1.6459302354690641,,
2024,180,v4r,v3_saved,339,-0.130789181123892,"[-0.1725492572958828, -0.08831535730373889]",1.4372419726979175,-0.009302956245213437,"[-0.014288758554194413, -0.004652600215080754]"
2024,180,v4r,v3_refit,339,-0.18135178695274187,"[-0.24138607391628494, -0.12364592643253491]",1.4878045785267673,-0.034157908573224385,"[-0.04759658417220682, -0.021835855244785773]"
2024,180,v4r,naive_previous_lab,339,-0.44074485543630526,"[-0.6816093765622818, -0.2311203411086826]",1.7471976470103305,,
