month,horizon,cost_ratio,policy,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2025-01,0,50,logistic_bayes,31,1,1,13,0,17,1.0,0.07142857142857142,0.43333333333333335,0.45161290322580644,13.0,41.935483870967744
2025-02,0,50,logistic_bayes,29,8,7,20,1,1,0.875,0.25925925925925924,0.9523809523809523,0.9310344827586207,70.0,241.3793103448276
2025-03,0,50,logistic_bayes,33,12,10,20,2,1,0.8333333333333334,0.3333333333333333,0.9523809523809523,0.9090909090909091,120.0,363.6363636363636
2025-04,0,50,logistic_bayes,31,5,5,24,0,2,1.0,0.1724137931034483,0.9230769230769231,0.9354838709677419,24.0,77.41935483870968
2025-05,0,50,logistic_bayes,34,4,4,30,0,0,1.0,0.11764705882352941,1.0,1.0,30.0,88.23529411764706
2025-06,0,50,logistic_bayes,32,2,2,30,0,0,1.0,0.0625,1.0,1.0,30.0,93.75
2025-07,0,50,logistic_bayes,33,1,1,31,0,1,1.0,0.03125,0.96875,0.9696969696969697,31.0,93.93939393939394
2025-08,0,50,logistic_bayes,31,5,4,23,1,3,0.8,0.14814814814814814,0.8846153846153846,0.8709677419354839,73.0,235.48387096774195
2025-09,0,50,logistic_bayes,32,7,7,25,0,0,1.0,0.21875,1.0,1.0,25.0,78.125
2025-10,0,50,logistic_bayes,44,13,13,30,0,1,1.0,0.3023255813953488,0.967741935483871,0.9772727272727273,30.0,68.18181818181817
2025-11,0,50,logistic_bayes,41,9,9,32,0,0,1.0,0.21951219512195122,1.0,1.0,32.0,78.04878048780488
2025-12,0,50,logistic_bayes,36,5,5,27,0,4,1.0,0.15625,0.8709677419354839,0.8888888888888888,27.0,75.0
2025-01,0,50,logistic_fixed_030,31,1,0,0,1,30,0.0,,0.0,0.0,50.0,161.29032258064515
2025-02,0,50,logistic_fixed_030,29,8,1,0,7,21,0.125,1.0,0.0,0.034482758620689655,350.0,1206.896551724138
2025-03,0,50,logistic_fixed_030,33,12,6,2,6,19,0.5,0.75,0.09523809523809523,0.24242424242424243,302.0,915.1515151515152
2025-04,0,50,logistic_fixed_030,31,5,2,3,3,23,0.4,0.4,0.11538461538461539,0.16129032258064516,153.0,493.5483870967742
2025-05,0,50,logistic_fixed_030,34,4,1,2,3,28,0.25,0.3333333333333333,0.06666666666666667,0.08823529411764706,152.0,447.05882352941177
2025-06,0,50,logistic_fixed_030,32,2,0,2,2,28,0.0,0.0,0.06666666666666667,0.0625,102.0,318.75
2025-07,0,50,logistic_fixed_030,33,1,0,1,1,31,0.0,0.0,0.03125,0.030303030303030304,51.0,154.54545454545453
2025-08,0,50,logistic_fixed_030,31,5,0,0,5,26,0.0,,0.0,0.0,250.0,806.4516129032259
2025-09,0,50,logistic_fixed_030,32,7,1,0,6,25,0.14285714285714285,1.0,0.0,0.03125,300.0,937.5
2025-10,0,50,logistic_fixed_030,44,13,3,6,10,25,0.23076923076923078,0.3333333333333333,0.1935483870967742,0.20454545454545456,506.0,1150.0
2025-11,0,50,logistic_fixed_030,41,9,3,5,6,27,0.3333333333333333,0.375,0.15625,0.1951219512195122,305.0,743.9024390243903
2025-12,0,50,logistic_fixed_030,36,5,2,0,3,31,0.4,1.0,0.0,0.05555555555555555,150.0,416.6666666666667
2025-01,0,50,residual_bayes,31,1,1,16,0,14,1.0,0.058823529411764705,0.5333333333333333,0.5483870967741935,16.0,51.61290322580645
2025-02,0,50,residual_bayes,29,8,7,20,1,1,0.875,0.25925925925925924,0.9523809523809523,0.9310344827586207,70.0,241.3793103448276
2025-03,0,50,residual_bayes,33,12,10,20,2,1,0.8333333333333334,0.3333333333333333,0.9523809523809523,0.9090909090909091,120.0,363.6363636363636
2025-04,0,50,residual_bayes,31,5,5,24,0,2,1.0,0.1724137931034483,0.9230769230769231,0.9354838709677419,24.0,77.41935483870968
2025-05,0,50,residual_bayes,34,4,4,30,0,0,1.0,0.11764705882352941,1.0,1.0,30.0,88.23529411764706
2025-06,0,50,residual_bayes,32,2,2,30,0,0,1.0,0.0625,1.0,1.0,30.0,93.75
2025-07,0,50,residual_bayes,33,1,1,31,0,1,1.0,0.03125,0.96875,0.9696969696969697,31.0,93.93939393939394
2025-08,0,50,residual_bayes,31,5,4,23,1,3,0.8,0.14814814814814814,0.8846153846153846,0.8709677419354839,73.0,235.48387096774195
2025-09,0,50,residual_bayes,32,7,7,25,0,0,1.0,0.21875,1.0,1.0,25.0,78.125
2025-10,0,50,residual_bayes,44,13,13,31,0,0,1.0,0.29545454545454547,1.0,1.0,31.0,70.45454545454545
2025-11,0,50,residual_bayes,41,9,9,32,0,0,1.0,0.21951219512195122,1.0,1.0,32.0,78.04878048780488
2025-12,0,50,residual_bayes,36,5,5,28,0,3,1.0,0.15151515151515152,0.9032258064516129,0.9166666666666666,28.0,77.77777777777779
2025-01,0,50,always_alarm,31,1,1,30,0,0,1.0,0.03225806451612903,1.0,1.0,30.0,96.7741935483871
2025-02,0,50,always_alarm,29,8,8,21,0,0,1.0,0.27586206896551724,1.0,1.0,21.0,72.41379310344827
2025-03,0,50,always_alarm,33,12,12,21,0,0,1.0,0.36363636363636365,1.0,1.0,21.0,63.63636363636363
2025-04,0,50,always_alarm,31,5,5,26,0,0,1.0,0.16129032258064516,1.0,1.0,26.0,83.87096774193549
2025-05,0,50,always_alarm,34,4,4,30,0,0,1.0,0.11764705882352941,1.0,1.0,30.0,88.23529411764706
2025-06,0,50,always_alarm,32,2,2,30,0,0,1.0,0.0625,1.0,1.0,30.0,93.75
2025-07,0,50,always_alarm,33,1,1,32,0,0,1.0,0.030303030303030304,1.0,1.0,32.0,96.96969696969697
2025-08,0,50,always_alarm,31,5,5,26,0,0,1.0,0.16129032258064516,1.0,1.0,26.0,83.87096774193549
2025-09,0,50,always_alarm,32,7,7,25,0,0,1.0,0.21875,1.0,1.0,25.0,78.125
2025-10,0,50,always_alarm,44,13,13,31,0,0,1.0,0.29545454545454547,1.0,1.0,31.0,70.45454545454545
