year,horizon,cost_ratio,policy,threshold,n,events,tp,fp,fn,tn,recall,precision,false_alarm_rate,alarm_share,total_cost,cost_per_100
2026,0,20,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,567.0,241.27659574468083
2026,0,20,residual_bayes,0.047619047619047616,235,35,34,152,1,48,0.9714285714285714,0.1827956989247312,0.76,0.7914893617021277,172.0,73.19148936170212
2026,0,20,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,20,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,700.0,297.8723404255319
2026,0,20,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,340.0,144.6808510638298
2026,0,20,active_bayes,0.047619047619047616,235,35,34,154,1,46,0.9714285714285714,0.18085106382978725,0.77,0.8,174.0,74.04255319148936
2026,0,50,logistic_empirical,4.702938262683624e-05,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,50,logistic_bayes,0.0196078431372549,235,35,35,191,0,9,1.0,0.15486725663716813,0.955,0.9617021276595744,191.0,81.27659574468085
2026,0,50,logistic_fixed_030,0.3,235,35,7,7,28,193,0.2,0.5,0.035,0.059574468085106386,1407.0,598.7234042553191
2026,0,50,residual_bayes,0.0196078431372549,235,35,35,180,0,20,1.0,0.16279069767441862,0.9,0.9148936170212766,180.0,76.59574468085107
2026,0,50,always_alarm,0.0,235,35,35,200,0,0,1.0,0.14893617021276595,1.0,1.0,200.0,85.1063829787234
2026,0,50,never_alarm,2.0,235,35,0,0,35,200,0.0,,0.0,0.0,1750.0,744.6808510638298
2026,0,50,active_runtime,0.25,235,35,19,20,16,180,0.5428571428571428,0.48717948717948717,0.1,0.16595744680851063,820.0,348.936170212766
2026,0,50,active_bayes,0.0196078431372549,235,35,35,184,0,16,1.0,0.1598173515981735,0.92,0.9319148936170213,184.0,78.29787234042553
2026,60,1,logistic_empirical,0.9407226494001523,236,34,0,0,34,202,0.0,,0.0,0.0,34.0,14.40677966101695
2026,60,1,logistic_bayes,0.5,236,34,0,0,34,202,0.0,,0.0,0.0,34.0,14.40677966101695
2026,60,1,logistic_fixed_030,0.3,236,34,4,9,30,193,0.11764705882352941,0.3076923076923077,0.04455445544554455,0.05508474576271186,39.0,16.52542372881356
